	sample_30189	sample_30206	sample_30221	sample_30234	sample_30423	sample_30487	sample_30489	sample_30534	sample_30588	sample_30598	sample_30599	sample_30621	sample_30659	sample_30705	sample_30768	sample_30817	sample_30841	sample_30847	sample_30850	sample_30900	sample_30901	sample_30905	sample_30928	sample_30986	sample_30992	sample_30995	sample_30996	sample_31047	sample_31058	sample_31083	sample_31132	sample_31151	sample_31180	sample_31188	sample_31213	sample_31250	sample_31253	sample_31275	sample_31287	sample_31309	sample_31395	sample_31419	sample_31421	sample_31426	sample_31429	sample_31465	sample_31507	sample_31517
Campylobacter	0	0	0	0	0	0	0	0	0	6	0	3	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Aeromonas	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobiospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atlantibacter	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	1291	0	0	0	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	130	0	867	1607	259	0	0	269
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia.Shigella	8073	39	20407	197	3281	5028	1804	6728	128	470	14549	17	40755	5667	57	5006	773	11725	1102	34036	49	1035	26933	669	139	1968	735	106	10006	840	39746	233	30128	680	3819	2941	43565	187	24397	1691	2913	267	294	6889	509	1362	392	4846
Klebsiella	70	0	0	0	142	75	97	393	36	0	1041	20	1108	151	0	944	0	0	123	19	11	764	22	464	0	1670	147	0	9654	35	0	58	0	63	243	0	12773	620	18	0	0	22	7017	1455	400	15	2073	3305
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Pseudocitrobacter	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosenbergiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	105	0	0	0	0	53
Hafnia.Obesumbacterium	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	374	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	361	6	0	0	26	7	410	70	8	27	43	9114	26	2490	102	76	0	1987	12448	0	5	52	0	439	0	2768	133	12	519	0	16	186	4	338	5	0	142	46	15	0	151	0	564	209	299	15	39	15
Acinetobacter	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	11	0
Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	3	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
Brachyspira	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0	0	0	0	0	0	0	0	0	0	34	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	14	5	0	47	5	0
Pyramidobacter	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	61	0	0	0	0	0	0	0	9	0	5	0	0	0	8	0	0	0	42	0	0	0	0
Synergistes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroplasma	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerasicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Akkermansia	5381	4534	11	0	13	480	216	0	17495	10208	616	0	357	81	17	98	0	2013	444	15	25288	30	7254	0	37	62359	2914	23291	0	147	316	19	4397	1437	777	0	1311	35	22	14	1898	10723	253	2047	20	6482	278	0
