	sample_30114	sample_30208	sample_30225	sample_30401	sample_30417	sample_30445	sample_30455	sample_30488	sample_30517	sample_30571	sample_30590	sample_30597	sample_30733	sample_30774	sample_30784	sample_30798	sample_30800	sample_30806	sample_30810	sample_30815	sample_30830	sample_30864	sample_30865	sample_30867	sample_30875	sample_30919	sample_30923	sample_30929	sample_30945	sample_30979	sample_31076	sample_31079	sample_31085	sample_31089	sample_31106	sample_31110	sample_31111	sample_31123	sample_31210	sample_31216	sample_31270	sample_31373	sample_31389	sample_31391	sample_31392	sample_31439	sample_31448	sample_31449	sample_31451	sample_31505	sample_31512	sample_75041
Victivallis	0	0	0	0	0	0	6	0	0	0	0	8	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	32	23	0	6	0	0	0
Bosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Devosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium_sp.DBS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0
Porphyrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Sphingobium	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella	0	144	0	0	339	0	17	4	0	0	2	0	14	5	0	6	14	21	106	0	0	53	53	2	48	207	56	17	5	0	19	10	0	5	0	49	1661	11	0	5697	17	4	19	0	0	380	4655	50	3750	0	67	0
Sutterella	0	1020	265	0	127	0	39	6	0	69	37	32	302	4	3	0	0	47	34	25	33	0	0	0	155	206	7	186	54	111	23	165	7	33	117	52	3322	0	25	14	8	58	2276	259	11	431	8819	265	3203	32	22	0
Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter	0	7	4	0	0	0	45	0	0	0	171	0	34	24	5	0	0	8	0	0	76	0	0	7	0	57	0	5	18	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0
Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
Neisseria	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	4	9	0	0	0	0
Bilophila	69	368	110	135	45	0	18	0	0	47	0	8	248	143	5	0	0	14	17	22	5	0	37	0	12	102	77	1522	82	148	285	53	36	8	0	34	0	27	22	109	14	16	148	133	820	172	177	14	246	189	0	0
Desulfovibrio	651	8	150	999	0	0	0	19	5	2293	599	0	0	353	13	0	0	0	0	8	213	0	600	2	169	0	0	9	0	1927	1411	8	0	0	0	6	0	0	327	0	11	0	0	1615	0	0	8	0	1750	1688	0	0
Campylobacter	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	50	18	2	0	0	0	0
Helicobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobiospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	1277	0	0	0	0	0	251	0
Citrobacter	0	0	0	0	436	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	93	0	1285	0	53	0	76	21	0	0	514	65	0	0	448	0	0	0	89	0
Enterobacter	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia.Shigella	3041	233	7862	320	1164	1369	1645	557	15727	2977	285	25	497	5577	34	12274	4417	740	115	212	5021	904	1739	73	1587	452	17	399	1167	9605	8725	4904	1405	16862	428	205	399	57	3286	1477	64	6887	476	15698	353	115	4834	68	76	212	4256	289
Klebsiella	12	0	23	0	199	0	0	87	0	0	1862	160	0	0	0	1459	578	26	0	63	0	43	11	0	0	30	14	0	0	217	459	508	448	583	257	0	0	33	0	0	0	76	233	1042	0	39	751	2822	397	210	3829	0
Pseudocitrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmonella	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia_ATCC.39006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus	0	0	0	73	0	0	0	54	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	19	0
Haemophilus	0	112	0	4447	24	0	0	2498	724	8	791	78	406	0	15	4	9009	4	37	13	0	1527	0	10	212	9	5772	31	159	74	727	1634	0	93	4772	56	60	38	1941	389	428	13415	2951	172	0	10	1662	1485	170	0	299	130
Necropsobacter	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	37	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cloacibacillus	57	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Pyramidobacter	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	104	0	9	0	0	0	0	12	0	0	0	0	8	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	940	0	0	0	0	0
Akkermansia	29905	0	1222	0	81	22075	41213	159	7	634	0	319	4918	61	26	0	506	39742	123	2587	3596	2076	37101	182	56	707	22451	15	0	760	39	378	0	10	59	15672	6	999	0	3333	476	17	51	1090	0	10359	6310	770	17	0	14	387
Distigma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
