	sample_30170	sample_30381	sample_30383	sample_30394	sample_30398	sample_30418	sample_30433	sample_30460	sample_30467	sample_30516	sample_30518	sample_30580	sample_30585	sample_30587	sample_30675	sample_30696	sample_30709	sample_30741	sample_30753	sample_30799	sample_30804	sample_30814	sample_30835	sample_30843	sample_30855	sample_30862	sample_30917	sample_30950	sample_30956	sample_30957	sample_30958	sample_30964	sample_30968	sample_30974	sample_30994	sample_31024	sample_31025	sample_31054	sample_31088	sample_31096	sample_31119	sample_31174	sample_31206	sample_31209	sample_31241	sample_31246	sample_31263	sample_31267	sample_31316	sample_31387	sample_31388	sample_31394	sample_31399	sample_31412	sample_31413	sample_31457	sample_75024
Holdemania	11	0	0	0	0	58	0	12	0	4	9	6	7	0	21	0	0	9	0	0	13	121	12	6	0	10	13	28	101	0	384	6	0	0	0	14	6	38	0	25	0	17	5	9	61	0	51	10	32	0	9	3	17	15	4	0	7
Solobacterium	0	0	0	0	219	0	4	0	0	199	0	0	0	0	2	0	0	686	8	0	249	0	9	623	2	0	250	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter	195	85	8	581	0	5	320	25	0	0	0	0	38	17	0	16	276	895	0	81	64	0	0	0	609	6	476	0	0	119	0	54	0	10	15	31	7	0	16	2414	0	0	0	0	638	1346	17	0	55	0	377	0	0	25	0	14	0
Firmicutes_bacterium_CAG.56	41	0	0	568	0	24	0	22	17	152	140	51	0	24	1544	0	0	8	179	138	14	91	125	0	41	39	91	33	0	0	6	50	0	34	113	0	25	0	0	0	55	0	577	750	0	119	136	0	0	64	336	0	432	453	53	77	0
Acidaminococcus	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	2062	1869	0	0	0	0
Phascolarctobacterium	0	15	223	1175	56	41	0	14	457	1429	3191	1949	37	1004	266	430	0	0	0	0	7	0	95	102	67	523	1923	412	12071	1622	5771	86	7078	4753	7598	4067	9	310	39	2217	26520	813	1264	0	1065	196	2414	1828	7510	6652	131	8428	58	143	4900	0	9711
Allisonella	12	0	0	0	0	0	0	160	8	0	6	13	422	0	0	15	0	13	0	49	0	0	30	45	0	15	77	57	0	0	0	0	966	39	73	824	0	0	0	0	0	0	0	0	0	0	0	36	0	155	0	0	312	166	24	508	0
Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Dialister	4357	1611	21	186	1566	7392	231	3085	16	1035	859	62	14638	30	0	0	0	995	27	477	8768	13906	11046	21836	0	2949	4626	9727	1136	14	26	91	12973	16263	2064	472	239	439	8807	18	0	4281	3649	10392	0	272	0	9665	0	503	1871	0	4255	9084	235	15640	24
Megamonas	0	0	3	0	0	0	0	1725	0	0	1123	0	0	0	0	1507	0	0	0	6	0	0	0	0	26	0	0	0	3	0	0	0	0	5632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155	173	2	0	0	322	0	0
Megasphaera	0	0	0	0	34	14	0	10301	0	0	1341	0	17506	4	0	88	0	0	3176	0	0	0	6	0	0	0	422	10122	0	5682	0	122	237	0	0	0	0	0	0	0	13	0	0	0	17	0	0	137	0	0	0	0	0	0	0	4513	0
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0	49	27	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Negativicoccus	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	5	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0
Veillonella	355	6957	16	4	836	27	9	9	1164	88	6594	237	235	25	0	8442	344	5546	1038	0	79	49	321	22	0	0	318	0	189	454	72	267	1974	430	625	1286	0	529	0	1121	3929	81	148	138	62	62	0	3670	3701	2548	21	180	54	92	5	748	1854
Fusobacterium	0	0	0	0	6	0	0	0	0	0	0	0	101	5	0	0	0	217	3	0	0	0	8	3	3	0	6	0	0	125	0	0	245	0	4	234	0	0	0	0	8	0	0	0	1062	0	0	0	0	0	0	0	0	0	0	18	8
Leptotrichia	0	0	0	0	0	0	0	0	26	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Victivallis	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	8	0	0	0	0	0	0	3	0	0	0
Brevundimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Neorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Parasutterella	0	343	0	0	0	12	3	21	0	0	0	2	16	0	0	4	0	0	0	31	7	10	418	0	21	0	29	2926	13	1596	24	8	0	47	0	0	0	0	0	73	0	0	11	0	0	27	26	0	26423	32	217	11361	35	41	51	10	0
Sutterella	19	0	0	84	8	27	36	10	0	12	0	0	1027	0	0	46	0	0	0	0	0	0	75	50	8	14	310	1769	804	0	38	0	764	1401	49	0	17	0	11	0	5	16	354	26	32	0	0	83	0	436	213	1994	1684	12	2173	836	203
Xylophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0
Oxalobacter	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	34	5	0	0
Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Neisseria	14	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobulbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	4	0	12	103	0	32	4	283	6	44	16	436	1377	35	0	4	0	8	0	0	71	357	253	16	0	15	199	911	887	0	992	9	60	159	0	0	0	0	56	33	45	13	310	0	668	18	98	89	273	411	182	54	10	8	213	0	33
Desulfovibrio	0	0	262	0	2298	0	178	0	0	0	8	162	2715	0	0	2	0	539	80	112	0	0	14	0	4	0	1529	0	1501	0	0	24	0	17	0	0	93	0	278	278	0	0	0	6	0	228	515	0	0	0	746	209	1399	168	134	23	380
Campylobacter	0	3	0	5	0	0	0	0	0	0	0	0	16	0	0	0	0	5	0	0	6	14	0	0	0	0	6	0	0	0	0	2	4	0	14	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
Helicobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0
Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buttiauxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	0	0	0	161	583	30	0	0	0	0	0	0	330	84	0	0	469	979	0	0	0	0	0	0	0	0	0	0	1440	272	115	0	0	154	0	73	0	2440	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	210	0
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia.Shigella	279	41229	12497	10174	10972	71	340	2458	22010	3483	3733	1305	29897	1704	15478	63	0	24477	221	11368	166	31	977	2403	4654	2099	415	10307	3443	18508	16772	22102	12842	1033	3365	3103	29	1312	313	4509	125	11481	239	9065	218	6017	45	371	1242	389	1802	1931	532	6423	169	1619	27
Klebsiella	238	0	130	131	21350	0	74	14	0	156	200	14	378	241	25	3255	3411	4619	30	677	38	19	25	0	960	0	0	0	2612	1332	302	80	2105	166	144	47	0	914	100	119	467	0	0	759	0	22	0	0	2852	297	58	161	34	49	46	203	0
Plesiomonas	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Providencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocitrobacter	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0
Rosenbergiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hafnia.Obesumbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
Chromohalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cricetibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Haemophilus	634	83	9	0	4	16	3	0	110	0	343	138	245	19	0	19614	23151	4197	12387	14	0	6	195	2	12	0	67	6	14	15	0	112	593	374	11	1268	0	28	0	351	133	13	6	64	143	25	6	355	4364	234	33	866	63	489	16	1690	147
Acinetobacter	0	0	0	0	2	0	0	0	0	44	0	0	0	0	0	0	0	5	0	0	0	0	17	0	2	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enhydrobacter	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	0
Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Candidatus_Saccharimonas	0	0	0	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Treponema_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	0	0	0	0	0	0	0	4	0	0
Fretibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	183	0	0	0	0	0	8	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroplasma	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia	2769	231	4929	6	0	21084	195	21	198	4580	1009	3551	1745	9719	529	8	0	5	0	69	0	6579	31	12117	1239	16	1765	1799	11350	0	11	0	0	1412	14	16	25	13	0	16720	1103	5776	603	306	106	378	2783	2170	8900	49	21	397	1138	18	5224	1448	7960
